Old Number,New Number,Description
1091,137,Student Activity
1092,139,Newsp
1093,138,Team Tch.
1094,135,Women
1095,136,?
1095A,136,Emergency Electric
1096,,Vest
1096A,,Vest
1097,,Corridor
1097A,141,A.A.P.
1097B,142,Y.C.
1098,143-02,Conf
1099,,Corridor
1100,143,TV
1101,143-01,?
1102,144-01,Elevr Mach
1103,,Corr
1104,, Corridor
1105,146,Stor
1106,,Corr
1135,125-03,?
1156,125-01,TFL
2nd Floor,,Floor
2001,L1,Gymnasium
2002,L1-03,Fitness
2004,,Corr
2005,,Corr
2005A,L1-02,P.E.
2006,L4,Concessions
2007,L1-01,Stor
2008,L5,I/ Bathroom
2009,L6,Bridge
2010,,Corr
2010A,,Corr
2010B,,Corr
2011,L3,I/ Bathroom
2012,,Gym Entrance
2013,L2,Office
2014,,Alcove #1
2014A,,Alcove #2
2014B,,Alcove #3
2015,,Fieldhouse Corridor
2016,,Entrance Lobby
3rd Floor,,Floor
3001,265,Mech
3002,262,General Reception
3002A,262,Office
3003,264,Team Room
3004,,Vest
3005,,Bridge
3005A,,Elevator Lobby
3006,,Corridor
3007,,Corridor
3007A,213,Jan Closet
3008,215,Tutoring Rm
3009,211,Tutoring Rm
3010,209,CR
3011,207,CR
3012,205,CR
3013,203,CR
3014,201,CR
3015,200-02,?
3015A,200-01,?
3016,,Corridor
3017,214,Bathroom
3018,212,Conf
3019,210,Off
3020,267,WK
3021,266-01,I/ Bathroom
3022,266-02,I/ Bathroom
3023,208,DF
3024,269,Comp
3025,271,CR
3026,,Corr
3027,NL,?
3028,,Corr
3029,272,CR
3030,273,CR
3031,270-1,Multi Purpose
3033,270-02,Technology
3035,250,I/ Bathroom
3037,270,LIbrary Stacks
3038,,Desk
3039,270-06,Off
3040,270-05,Work
3042,268,AV Storage
3043,204,?
3044,270-04,Library Boys Bathroom
3045,260-03,Library Girls Bathroom
3046A,NL,?
3046B,NL,?
3047,,Corr
3047A,,Alcove
3048,262-01,Stor
3049,262-02,Attn Off
3050,262-05,Work
3051,262-03,?
3052,262-04,?
3053,,Corr
3054,262-08,Conf
3055,261-14,Reg.
