DeviceObj,Circuit,Location,Debug
Outlets,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.38-T2C.T2C.L2C.18,4050,
Outlets,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.38-T2C.T2C.L2C.19,4050,
Outlets,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.38-T2C.T2C.L2C.20,4052,
Outlets,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.38-T2C.T2C.L2C.21,4052,
Outlets,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.38-T2C.T2C.L2C.21,4052A,
Outlets,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.38-T2C.T2C.L2C.22,4052,
Outlets,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.38-T2C.T2C.L2C.23,4052A,
Outlets,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.38-T2C.T2C.L2C.24,4052A,
Outlets,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.38-T2C.T2C.L2C.25,4053,
Outlets,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.38-T2C.T2C.L2C.26,4053,
Outlets,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.38-T2C.T2C.L2C.27,4053,
Outlets,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.38-T2C.T2C.L2C.28,4058,
Outlets,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.38-T2C.T2C.L2C.29,4058,
Outlets,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.38-T2C.T2C.L2C.30,4058,
Outlets,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.38-T2C.T2C.L2C.31,4060,
Outlets,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.38-T2C.T2C.L2C.32,4060,
Outlets,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.38-T2C.T2C.L2C.33,4060,
fan F-64,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.38-T2C.T2C.L2C.35,Roof,
fan F-65,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.38-T2C.T2C.L2C.35,Roof,
fan F-39,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.38-T2C.T2C.L2C.37,Roof,
fan F-39A,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.38-T2C.T2C.L2C.37,Roof,
AHU-8 Control Panel,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.38-T2C.T2C.L2C.37,Roof,
Electric Water Cooler corr,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.38-T2C.T2C.L2C.39,4045,
fan F-47B,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.44,Roof,
F-47B,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.46,Roof,
Roof fan F-47B,MSWB.5-DHB.DHB.1-L42Csec2.L42Csec2.48,,
Outlets,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec1.2,4022,
Outlets,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec1.3,4022,
Outlets,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec1.4,4023,
Outlets,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec1.5,4025,
