path,type,voltage,room,description,devices,,dhb.1.l42csec2.38,circuit,277/480,4054,L2C via T2C
,,,,,,,,,,,
MSWB.5-DHB.1-L42Csec1,Panel,277/480,4054,C4 RM4054 | L42Csec1,Panel!#!#!4054,,,,,,
MSWB.5-DHB.1-L42Csec1.1,Circuit,277/480,4054,Blank,BLANK,,,,,,
MSWB.5-DHB.1-L42Csec1.2,Circuit,277/480,4054,Lights-4040,Lights!#!#!4040,,,,,,
MSWB.5-DHB.1-L42Csec1.3,Circuit,277/480,4054,Lights-4041| Lights-4042 | Lights-4047 | Lights-4048 | Lights-4051,Lights!#!#!4041| Lights!#!#!4042 | Lights!#!#!4047 | Lights!#!#!4048 | Lights!#!#!4051,,,,,,
MSWB.5-DHB.1-L42Csec1.4,Circuit,277/480,4054,Lights-4043,Lights!#!#!4043,,MSWB.dhb.1.l42csec2.38.t2c.l2c.1,circuit,120/208,,
MSWB.5-DHB.1-L42Csec1.5,Circuit,277/480,4054,Lights-4049,Lights!#!#!4049,,MSWB.dhb.1.l42csec2.40,circuit,277/480,,
MSWB.5-DHB.1-L42Csec1.6,Circuit,277/480,4054,"Lights-4050  ,  New Rm 353",Lights!#!#!4050,,,,,,
MSWB.5-DHB.1-L42Csec1.7,Circuit,277/480,4054,Lights-4052,Lights!#!#!4052,,,,,,
MSWB.5-DHB.1-L42Csec1.8,Circuit,277/480,4054,blank,BLANK,,,,,,
MSWB.5-DHB.1-L42Csec1.9,Circuit,277/480,4054,Lights-4052A | Lights-4053,Lights!#!#!4052A | Lights!#!#!4053,,,,,,
MSWB.5-DHB.1-L42Csec1.10,Circuit,277/480,4054,Lights-4058,Lights!#!#!4058,,,,,,
MSWB.5-DHB.1-L42Csec1.11,Circuit,277/480,4054,Lights-4060,Lights!#!#!4060,,,,,,
MSWB.5-DHB.1-L42Csec1.12,Circuit,277/480,4054,blank,BLANK,,,,,,
MSWB.5-DHB.1-L42Csec1.13,Circuit,277/480,4054,Lights-4046 | Lights-4046A,Lights!#!#!4046 | Lights!#!#!4046A,,,,,,
MSWB.5-DHB.1-L42Csec1.14,Circuit,277/480,4054,Lights-4055| Lights- 4056 |  baths,Lights!#!#!4055| Lights!#!#!4056 | baths,,,,,,
MSWB.5-DHB.1-L42Csec1.15,Circuit,277/480,4054,Corridor night light,Corridor night light,,dhb.1.l42csec2.40.t2c,transformer,,,
MSWB.5-DHB.1-L42Csec1.16,Circuit,277/480,4054,blank,BLANK,,,,,,
MSWB.5-DHB.1-L42Csec1.17,Circuit,277/480,4054,spare at rm 3037,spare at!#!#!3037,,,,,,
MSWB.5-DHB.1-L42Csec1.18,Circuit,277/480,4054,spare,spare,,,,,,
MSWB.5-DHB.1-L42Csec1.19,Circuit,277/480,4054,spare at rm 3037,spare at!#!#!3037,,,,,,
MSWB.5-DHB.1-L42Csec1.20,Circuit,277/480,4054,Lights-3037,Lights!#!#!3037,,,,,,
MSWB.5-DHB.1-L42Csec1.21,Circuit,277/480,4054,spare at rm 3037,spare at!#!#!3037,,,,,,
MSWB.5-DHB.1-L42Csec1.22,Circuit,277/480,4054,Lights-3037,Lights!#!#!3037,,,,,,
MSWB.5-DHB.1-L42Csec1.23,Circuit,277/480,4054,Lights-3037,Lights!#!#!3037,,,,,,
MSWB.5-DHB.1-L42Csec1.24,Circuit,277/480,4054,Lights-3037,Lights!#!#!3037,,,,,,
,,,,,,,,,,,
MSWB.5-DHB.1-L42Csec2,Panel,277/480,4054,C4 RM4054 | L42Csec2,Panel!#!#!4054,,,,,,
MSWB.5-DHB.1-L42Csec2.25,Circuit,277/480,4054,Lights-3037,Lights!#!#!3037,,,,,,
MSWB.5-DHB.1-L42Csec2.26,Circuit,277/480,4054,Lights-3037,Lights!#!#!3037,,,,,,
MSWB.5-DHB.1-L42Csec2.27,Circuit,277/480,4054,Lights-3037,Lights!#!#!3037,,,,,,
MSWB.5-DHB.1-L42Csec2.28,Circuit,277/480,4054,Spare at Library,Spare at Library,,,,,,
MSWB.5-DHB.1-L42Csec2.29,Circuit,277/480,4054,Fan F-48 | 0.33 HP | Kitchen Dishwashing ,Fan F-48,,,,,,
MSWB.5-DHB.1-L42Csec2.30,Circuit,277/480,4054,Blank,BLANK,,dhb.1.l42csec2.40.t2c.l2c,panel,,,
MSWB.5-DHB.1-L42Csec2.31,Circuit,277/480,4054,Fan F-48 | 0.33 HP | Kitchen Dishwashing ,Fan F-48,,,,,,
MSWB.5-DHB.1-L42Csec2.32,Circuit,277/480,4054,AHU-10 | 5 HP | Computer Center,AHU-10,,,,,,
MSWB.5-DHB.1-L42Csec2.33,Circuit,277/480,4054,Fan F-48 | 0.33 HP | Kitchen Dishwashing ,Fan F-48,,,,,,
MSWB.5-DHB.1-L42Csec2.34,Circuit,277/480,4054,AHU-10 | 5 HP | Computer Center,AHU-10,,,,,,
MSWB.5-DHB.1-L42Csec2.35,Circuit,277/480,4054,blank,BLANK,,,,,,
MSWB.5-DHB.1-L42Csec2.36,Circuit,277/480,4054,AHU-10 | 5 HP | Computer Center,AHU-10,,,,,,
MSWB.5-DHB.1-L42Csec2.37,Circuit,277/480,4054,blank,BLANK,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C,Transformer,277/480,4054, T2C > L2C | 25 KVA Prim 40A | Secondary 90A,Transformer!#!#!4054,,,,,,
MSWB.5-DHB.1-L42Csec2.39,Circuit,277/480,4054,blank,BLANK,,,,,,
MSWB.5-DHB.1-L42Csec2.40,Circuit,277/480,4054,L2C via T2C | T2C > L2C,L2C via T2C | T2C > L2C,,,,,,
MSWB.5-DHB.1-L42Csec2.41,Circuit,277/480,4054,blank,BLANK,,,,,,
MSWB.5-DHB.1-L42Csec2.42,Circuit,277/480,4054,L2C via T2C | T2C > L2C,L2C via T2C | T2C > L2C,,,,,,
MSWB.5-DHB.1-L42Csec2.43,Circuit,277/480,4054,blank,BLANK,,,,,,
MSWB.5-DHB.1-L42Csec2.44,Circuit,277/480,4054,Roof fan F-47B | 0.5 HP | 4th Floor Class rooms,fan F-47B!#!#!Roof,,,,,,
MSWB.5-DHB.1-L42Csec2.45,Circuit,277/480,4054,blank,BLANK,,,,,,
MSWB.5-DHB.1-L42Csec2.46,Circuit,277/480,4054,Roof fan F-47B | 0.5 HP | 4th Floor Class rooms,F-47B!#!#!Roof,,,,,,
MSWB.5-DHB.1-L42Csec2.47,Circuit,277/480,4054,blank,BLANK,,,,,,
MSWB.5-DHB.1-L42Csec2.48,Circuit,277/480,4054,Roof fan F-47B | 0.5 HP | 4th Floor Class rooms,Roof fan F-47B,,,,,,
,,,,,,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C,Panel,120/208,4054,C4  RM4054 Source: L42C VIA T2C ,Panel!#!#!4054,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.1,Circuit,120/208,4054,Hand Dryer rm 4047,Hand Dryer!#!#!4047,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.2,Circuit,120/208,4054,Outlets RM 4040,Outlets!#!#!4040,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.3,Circuit,120/208,4054,Outlets RM 4040,Outlets!#!#!4040,,dhb.1.l42csec2.40.t2c.l2c.1,circuit,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.4,Circuit,120/208,4054,Outlets RM 4040,Outlets!#!#!4040,,dhb.1.l42csec2.42,circuit,277/480,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.5,Circuit,120/208,4054,Outlets RM 4043 | 359,Outlets!#!#!4043,,dhb.1.l42csec2.42.t2c,transformer,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.6,Circuit,120/208,4054,Outlets RM 4043,Outlets!#!#!4043,,dhb.1.l42csec2.42.t2c.l2c,panel,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.7,Circuit,120/208,4054,Outlets RM 4043,Outlets!#!#!4043,,dhb.1.l42csec2.42.t2c.l2c.1,circuit,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.8,Circuit,120/208,4054,Outlets RM 4041 | 360,Outlets!#!#!4041,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.9,Circuit,120/208,4054,Outlets RM 4041,Outlets!#!#!4041,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.10,Circuit,120/208,4054,"Outlets RM 4056, Corr.4045",Outlets!#!#!4056 | Outlets corr!#!#!4045,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.11,Circuit,120/208,4054,Outlets RM 4042 | 358,Outlets!#!#!4042,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.12,Circuit,120/208,4054,Outlets RM 4049,Outlets!#!#!4049,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.13,Circuit,120/208,4054,Outlets RM 4049,Outlets!#!#!4049,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.14,Circuit,120/208,4054,Outlets RM 4049,Outlets!#!#!4049,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.15,Circuit,120/208,4054,"Outlets RM 4047, 4048",Outlets!#!#!4047 | Outlets!#!#!4048,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.16,Circuit,120/208,4054,Outlets RM 4051,Outlets!#!#!4051,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.17,Circuit,120/208,4054,Outlets RM 4050,Outlets!#!#!4050,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.18,Circuit,120/208,4054,Outlets RM 4050,Outlets!#!#!4050,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.19,Circuit,120/208,4054,Outlets RM 4050,Outlets!#!#!4050,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.20,Circuit,120/208,4054,Outlets RM 4052 | 351,Outlets!#!#!4052,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.21,Circuit,120/208,4054,"Outlets RM 4052, 4052A | 351, 349",Outlets!#!#!4052 | Outlets!#!#!4052A,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.22,Circuit,120/208,4054,Outlets RM 4052,Outlets!#!#!4052,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.23,Circuit,120/208,4054,Outlets RM 4052A | 349,Outlets!#!#!4052A,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.24,Circuit,120/208,4054,Outlets RM 4052A,Outlets!#!#!4052A,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.25,Circuit,120/208,4054,Outlets RM 4053 | 347,Outlets!#!#!4053,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.26,Circuit,120/208,4054,Outlets RM 4053,Outlets!#!#!4053,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.27,Circuit,120/208,4054,Outlets RM 4053 ,Outlets!#!#!4053,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.28,Circuit,120/208,4054,Outlets RM 4058,Outlets!#!#!4058,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.29,Circuit,120/208,4054,Outlets RM 4058,Outlets!#!#!4058,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.30,Circuit,120/208,4054,Outlets RM 4058,Outlets!#!#!4058,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.31,Circuit,120/208,4054,Outlets RM 4060,Outlets!#!#!4060,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.32,Circuit,120/208,4054,Outlets RM 4060,Outlets!#!#!4060,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.33,Circuit,120/208,4054,Outlets RM 4060,Outlets!#!#!4060,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.34,Circuit,120/208,4054,blank,BLANK,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.35,Circuit,120/208,4054,Roof fan F-64 |0.25 HP | 3rd Floor Class rooms | Roof fan F-65 | 0.33 HP |  3rd Floor Class rooms,fan F-64!#!#!Roof| fan F-65!#!#!Roof,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.36,Circuit,120/208,4054,blank,BLANK,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.37,Circuit,120/208,4054,"Roof fan F-39, F-39A , AHU-8 Control Panel",fan F-39!#!#!Roof| fan F-39A!#!#!Roof | AHU-8 Control Panel!#!#!Roof,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.38,Circuit,120/208,4054,MAIN Breaker,MAIN,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.39,Circuit,120/208,4054,Electric Water Cooler-corr 4045,Electric Water Cooler corr!#!#!4045,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.40,Circuit,120/208,4054,MAIN Breaker,MAIN,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.41,Circuit,120/208,4054,blank,BLANK,,,,,,
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C.42,Circuit,120/208,4054,MAIN Breaker,MAIN,,,,,,
,,,,,,,,,,,
MSWB.5-DHB.2-T2BA,Transformer,277/480/120/208,4031,,Transformer!#!#!4031,,,,,,
,,,,,,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1,Panel,277/480,4031,C4 RM4031A  | DHB > T2BA > L2BAsec1,Panel!#!#!4031,,,,,,
MSWB.5-DHB.2-T2BA.L2BAsec1.1,Circuit,120/208,4031,Blank,BLANK,,,,,,
