Referrer,Referrer Type,Location
'Lights' on Circuit 'MSWB.8-DL.DL.12-LGB.LGB.5-TLGC.TLGC.LGC-Left.25',Device,(Center Mezz North) cafeteria
'Lights' on Circuit 'MSWB.8-DL.DL.12-LGB.LGB.5-TLGC.TLGC.LGC-Left.30',Device,Serving Area (North) cafeteria
'Lights' on Circuit 'MSWB.8-DL.DL.12-LGB.LGB.5-TLGC.TLGC.LGC-Right.36',Device,Mechanical Room
'Lights' on Circuit 'MSWB.8-DL.DL.12-LGB.LGB.5-TLGC.TLGC.LGC-Right.38',Device,Rail outside bridge
'Lights' on Circuit 'MSWB.8-DL.DL.12-LGB.LGB.5-TLGC.TLGC.LGC-Right.46',Device,Kitchen serving area (North)
'Lights' on Circuit 'MSWB.8-DL.DL.13-L41B.L41B.6',Device,3048A
'Lights' on Circuit 'MSWB.8-DL.DL.13-L41B.L41B.11',Device,3016A
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.6-HSHLB.HSHLB.1',Device,CC Theater arts C06
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.6-HSHLB.HSHLB.6',Device,CC Main Hall
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.6-HSHLB.HSHLB.7',Device,CC Mezzanine
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.6-HSHLB.HSHLB.8',Device,CC Costume
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.6-HSHLB.HSHLB.8',Device,CC Props
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.6-HSHLB.HSHLB.8',Device,CC Custodian Room C06
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.6-HSHLB.HSHLB.10',Device,CC coat room
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.3',Device,CC Coat & Closet
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.5',Device,1124
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.8',Device,CC Main Entrance
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.9',Device,CC Control Room
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.11',Device,1109
'Lights' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.13',Device,CC Guide
